EnterCode,EnterName,EnterSign,ExitCode,ExitName,ExitSign,Distance/Km,NormalPrice,EarlyPrice
44_44,Admiralty,NS10,44_44,Admiralty,NS10,0,0,0
44_44,Admiralty,NS10,34_34,Aljunied,EW9,24.3,191,141
44_44,Admiralty,NS10,2_2,Ang Mo Kio,NS16,13.3,155,105
44_44,Admiralty,NS10,119_81,Bakau,SE3,25.9,193,143
44_44,Admiralty,NS10,57_56,Bangkit,BP9,14.8,159,109
44_44,Admiralty,NS10,201_108,Bartley,CC12,19.7,178,128
44_44,Admiralty,NS10,302_131,Bayfront,CE1 / DT16,25.3,193,143
44_44,Admiralty,NS10,309_140,Beauty World,DT5,18.0,171,121
44_44,Admiralty,NS10,38_38,Bedok,EW5,27.3,195,145
44_44,Admiralty,NS10,327_152,Bedok North,DT29,25.4,193,143
44_44,Admiralty,NS10,328_151,Bedok Reservoir,DT30,27.1,194,144
44_44,Admiralty,NS10,319_159,Bencoolen,DT21,26.6,194,144
44_44,Admiralty,NS10,321_157,Bendemeer,DT23,25.7,193,143
44_44,Admiralty,NS10,3_3,Bishan,NS17 / CC15,15.7,163,113
44_44,Admiralty,NS10,109_73,Boon Keng,NE9,22.1,184,134
44_44,Admiralty,NS10,27_27,Boon Lay,EW27,21.7,184,134
44_44,Admiralty,NS10,217_121,Botanic Gardens,CC19 / DT9,22.3,187,137
44_44,Admiralty,NS10,4_4,Braddell,NS18,16.8,167,117
44_44,Admiralty,NS10,215_111,Bras Basah,CC2,23.4,189,139
44_44,Admiralty,NS10,103_67,Buangkok,NE15,22.9,187,137
44_44,Admiralty,NS10,31_31,Bugis,EW12 / DT14,23.1,187,137
44_44,Admiralty,NS10,28_28,Bukit Batok,NS2,14.9,159,109
44_44,Admiralty,NS10,29_29,Bukit Gombak,NS3,13.7,155,105
44_44,Admiralty,NS10,54_53,Bukit Panjang,BP6 / DT1,13.3,155,105
44_44,Admiralty,NS10,20_20,Buona Vista,EW21 / CC22,23.6,189,139
44_44,Admiralty,NS10,216_120,Caldecott,CC17,18.5,175,125
44_44,Admiralty,NS10,307_142,Cashew,DT2,14.5,159,109
44_44,Admiralty,NS10,65_64,Changi Airport,CG2,35.6,202,152
44_44,Admiralty,NS10,122_84,Cheng Lim,SW1,24.7,191,141
44_44,Admiralty,NS10,305_77,Chinatown,NE4 / DT19,24.7,191,141
44_44,Admiralty,NS10,25_25,Chinese Garden,EW25,18.5,175,125
44_44,Admiralty,NS10,30_30,Choa Chu Kang,NS4 / BP1,10.5,143,93
44_44,Admiralty,NS10,11_11,City Hall,NS25 / EW13,23.8,189,139
44_44,Admiralty,NS10,113_76,Clarke Quay,NE5,24.1,189,139
44_44,Admiralty,NS10,21_21,Clementi,EW23,20.5,181,131
44_44,Admiralty,NS10,19_19,Commonwealth,EW20,24.7,191,141
44_44,Admiralty,NS10,117_79,Compassvale,SE1,24.7,191,141
44_44,Admiralty,NS10,132_94,Coral Edge,PE3,27.5,195,145
44_44,Admiralty,NS10,130_92,Cove,PE1,26.6,194,144
44_44,Admiralty,NS10,209_117,Dakota,CC8,24.3,191,141
44_44,Admiralty,NS10,136_98,Damai,PE7,26.5,194,144
44_44,Admiralty,NS10,10_10,Dhoby Ghaut,NS24 / NE6 / CC1,22.8,187,137
44_44,Admiralty,NS10,64_63,Dover,EW22,22.2,184,134
44_44,Admiralty,NS10,303_132,Downtown,DT17,25.8,193,143
44_44,Admiralty,NS10,214_112,Esplanade,CC3,24.1,189,139
44_44,Admiralty,NS10,36_36,Eunos,EW7,24.2,189,139
44_44,Admiralty,NS10,333_62,Expo,CG1 / DT35,31.1,198,148
44_44,Admiralty,NS10,58_57,Fajar,BP10,15.7,163,113
44_44,Admiralty,NS10,123_85,Farmway,SW2,25.2,191,141
44_44,Admiralty,NS10,110_74,Farrer Park,NE8,22.6,187,137
44_44,Admiralty,NS10,218_122,Farrer Road,CC20,23.3,189,139
44_44,Admiralty,NS10,126_88,Fernvale,SW5,26.6,194,144
44_44,Admiralty,NS10,318_160,Fort Canning,DT20,25.7,193,143
44_44,Admiralty,NS10,322_156,Geylang Bahru,DT24,24.3,191,141
44_44,Admiralty,NS10,69_143,Gul Circle,EW30,27.6,195,145
44_44,Admiralty,NS10,116_78,HarbourFront,NE1 / CC29,28.1,195,145
44_44,Admiralty,NS10,223_126,Haw Par Villa,CC25,26.6,194,144
44_44,Admiralty,NS10,308_141,Hillview,DT3,15.4,163,113
44_44,Admiralty,NS10,219_123,Holland Village,CC21,24.5,191,141
44_44,Admiralty,NS10,104_68,Hougang,NE14,21.6,184,134
44_44,Admiralty,NS10,320_158,Jalan Besar,DT22,27.0,194,144
44_44,Admiralty,NS10,60_59,Jelapang,BP12,14.5,159,109
44_44,Admiralty,NS10,67_106,Joo Koon,EW29,25.3,193,143
44_44,Admiralty,NS10,24_24,Jurong East,NS1 / EW24,17.0,167,117
44_44,Admiralty,NS10,134_96,Kadaloor,PE5,27.6,195,145
44_44,Admiralty,NS10,326_153,Kaki Bukit,DT28,24.3,191,141
44_44,Admiralty,NS10,33_33,Kallang,EW10,25.3,193,143
44_44,Admiralty,NS10,120_82,Kangkar,SE4,25.8,193,143
44_44,Admiralty,NS10,51_50,Keat Hong,BP3,11.5,147,97
44_44,Admiralty,NS10,37_37,Kembangan,EW6,25.3,193,143
44_44,Admiralty,NS10,222_125,Kent Ridge,CC24,25.2,191,141
44_44,Admiralty,NS10,23_23,Khatib,NS14,7.0,122,72
44_44,Admiralty,NS10,310_139,King Albert Park,DT6,19.2,175,125
44_44,Admiralty,NS10,105_69,Kovan,NE13,20.0,178,128
44_44,Admiralty,NS10,47_47,Kranji,NS7,4.9,103,53
