EnterCode,ExitCode,EnterName,ExitName,Distance/Km,NormalPrice,EarlyPrice,EnterSign,ExitSign
44_44,44_44,Admiralty ,Admiralty ,0,0,0,NS10,NS10
44_44,34_34,Admiralty ,Aljunied ,24.3,191,141,NS10,EW9
44_44,2_2,Admiralty ,Ang Mo Kio ,13.3,155,105,NS10,NS16
44_44,119_81,Admiralty ,Bakau ,25.9,193,143,NS10,SE3
44_44,57_56,Admiralty ,Bangkit ,14.8,159,109,NS10,BP9
44_44,201_108,Admiralty ,Bartley ,19.7,178,128,NS10,CC12
44_44,309_140,Admiralty ,Beauty World ,18.0,171,121,NS10,DT5
44_44,38_38,Admiralty ,Bedok ,27.3,195,145,NS10,EW5
44_44,327_152,Admiralty ,Bedok North ,25.4,193,143,NS10,DT29
44_44,328_151,Admiralty ,Bedok Reservoir ,27.1,194,144,NS10,DT30
44_44,319_159,Admiralty ,Bencoolen ,26.6,194,144,NS10,DT21
44_44,321_157,Admiralty ,Bendemeer ,25.7,193,143,NS10,DT23
44_44,3_3,Admiralty ,Bishan ,15.7,163,113,NS10,NS17 / CC15
44_44,109_73,Admiralty ,Boon Keng ,22.1,184,134,NS10,NE9
44_44,27_27,Admiralty ,Boon Lay ,21.7,184,134,NS10,EW27
44_44,4_4,Admiralty ,Braddell ,16.8,167,117,NS10,NS18
44_44,215_111,Admiralty ,Bras Basah ,23.4,189,139,NS10,CC2
44_44,103_67,Admiralty ,Buangkok ,22.9,187,137,NS10,NE15
44_44,31_31,Admiralty ,Bugis ,23.1,187,137,NS10,EW12 / DT14
44_44,28_28,Admiralty ,Bukit Batok ,14.9,159,109,NS10,NS2
44_44,29_29,Admiralty ,Bukit Gombak ,13.7,155,105,NS10,NS3
44_44,216_120,Admiralty ,Caldecott ,18.5,175,125,NS10,CC17
44_44,307_142,Admiralty ,Cashew ,14.5,159,109,NS10,DT2
44_44,65_64,Admiralty ,Changi Airport ,35.6,202,152,NS10,CG2
44_44,122_84,Admiralty ,Cheng Lim ,24.7,191,141,NS10,SW1
44_44,25_25,Admiralty ,Chinese Garden ,18.5,175,125,NS10,EW25
44_44,11_11,Admiralty ,City Hall ,23.8,189,139,NS10,NS25 / EW13
44_44,113_76,Admiralty ,Clarke Quay ,24.1,189,139,NS10,NE5
44_44,21_21,Admiralty ,Clementi ,20.5,181,131,NS10,EW23
44_44,19_19,Admiralty ,Commonwealth ,24.7,191,141,NS10,EW20
44_44,117_79,Admiralty ,Compassvale ,24.7,191,141,NS10,SE1
44_44,132_94,Admiralty ,Coral Edge ,27.5,195,145,NS10,PE3
44_44,130_92,Admiralty ,Cove ,26.6,194,144,NS10,PE1
44_44,209_117,Admiralty ,Dakota ,24.3,191,141,NS10,CC8
44_44,136_98,Admiralty ,Damai ,26.5,194,144,NS10,PE7
44_44,10_10,Admiralty ,Dhoby Ghaut ,22.8,187,137,NS10,NS24 / NE6 / CC1
44_44,64_63,Admiralty ,Dover ,22.2,184,134,NS10,EW22
44_44,303_132,Admiralty ,Downtown ,25.8,193,143,NS10,DT17
44_44,214_112,Admiralty ,Esplanade ,24.1,189,139,NS10,CC3
44_44,36_36,Admiralty ,Eunos ,24.2,189,139,NS10,EW7
44_44,333_62,Admiralty ,Expo ,31.1,198,148,NS10,CG1 / DT35
44_44,58_57,Admiralty ,Fajar ,15.7,163,113,NS10,BP10
44_44,123_85,Admiralty ,Farmway ,25.2,191,141,NS10,SW2
44_44,110_74,Admiralty ,Farrer Park ,22.6,187,137,NS10,NE8
44_44,218_122,Admiralty ,Farrer Road ,23.3,189,139,NS10,CC20
44_44,126_88,Admiralty ,Fernvale ,26.6,194,144,NS10,SW5
44_44,318_160,Admiralty ,Fort Canning ,25.7,193,143,NS10,DT20
44_44,322_156,Admiralty ,Geylang Bahru ,24.3,191,141,NS10,DT24
44_44,69_143,Admiralty ,Gul Circle ,27.6,195,145,NS10,EW30
44_44,223_126,Admiralty ,Haw Par Villa ,26.6,194,144,NS10,CC25
44_44,308_141,Admiralty ,Hillview ,15.4,163,113,NS10,DT3
44_44,219_123,Admiralty ,Holland Village ,24.5,191,141,NS10,CC21
44_44,104_68,Admiralty ,Hougang ,21.6,184,134,NS10,NE14
