,OBJECTID,STN_NAME,STN_NO,geometry,EnterCode,EnterName,EnterSign,ExitCode,ExitName,ExitSign,Distance/Km,NormalPrice,EarlyPrice,WorthIt
0,1,EUNOS,EW7,POINT (103.9032524667386 1.319778951553634),36_36,Eunos,EW7,222_125,Kent Ridge,CC24,16.3,167,117,True
1,2,CHINESE GARDEN,EW25,POINT (103.7325967380737 1.342352820874741),25_25,Chinese Garden,EW25,222_125,Kent Ridge,CC24,9.7,139,89,False
2,3,KHATIB,NS14,POINT (103.8329799077386 1.417383370153544),23_23,Khatib,NS14,222_125,Kent Ridge,CC24,20.3,181,131,True
3,4,KRANJI,NS7,POINT (103.7621654109005 1.425177698770445),47_47,Kranji,NS7,222_125,Kent Ridge,CC24,20.3,181,131,True
4,5,REDHILL,EW18,POINT (103.8168166701493 1.28956272640245),17_17,Redhill,EW18,222_125,Kent Ridge,CC24,5.3,112,62,False
5,6,YEW TEE,NS5,POINT (103.7474051141382 1.397535017793409),48_48,Yew Tee,NS5,222_125,Kent Ridge,CC24,16.1,163,113,True
6,7,PIONEER,EW28,POINT (103.6973215129364 1.337586882204746),66_107,Pioneer,EW28,222_125,Kent Ridge,CC24,13.8,155,105,True
7,8,COMMONWEALTH,EW20,POINT (103.7983045156293 1.302438735327167),19_19,Commonwealth,EW20,222_125,Kent Ridge,CC24,2.7,83,33,False
8,9,PAYA LEBAR,EW8,POINT (103.8930603552519 1.318112082295275),35_35,Paya Lebar,EW8 / CC9,222_125,Kent Ridge,CC24,15.2,159,109,True
10,10,SIMEI,EW3,POINT (103.953371694176 1.343202894930724),40_40,Simei,EW3,222_125,Kent Ridge,CC24,23.7,189,139,True
11,11,TAMPINES,EW2,POINT (103.9451486886493 1.353301356342431),41_41,Tampines,EW2 / DT32,222_125,Kent Ridge,CC24,24.5,191,141,True
13,12,ADMIRALTY,NS10,POINT (103.8009880008126 1.440585001085408),44_44,Admiralty,NS10,222_125,Kent Ridge,CC24,25.2,191,141,True
14,13,YISHUN,NS13,POINT (103.8350050461949 1.429443080810797),22_22,Yishun,NS13,222_125,Kent Ridge,CC24,21.7,184,134,True
15,14,PASIR RIS,EW1,POINT (103.9492681182457 1.372983773579487),42_42,Pasir Ris,EW1,222_125,Kent Ridge,CC24,26.9,194,144,True
16,15,CLEMENTI,EW23,POINT (103.7652988743267 1.314954492423591),21_21,Clementi,EW23,222_125,Kent Ridge,CC24,4.7,103,53,False
17,16,ALJUNIED,EW9,POINT (103.8829060446607 1.316432611657835),34_34,Aljunied,EW9,222_125,Kent Ridge,CC24,14.0,155,105,True
18,17,ANG MO KIO,NS16,POINT (103.8499329938901 1.369347303788561),2_2,Ang Mo Kio,NS16,222_125,Kent Ridge,CC24,14.0,155,105,True
20,18,EXPO,CG1,POINT (103.9615482107082 1.334549777837809),333_62,Expo,CG1 / DT35,222_125,Kent Ridge,CC24,23.2,187,137,True
22,19,CHOA CHU KANG,NS4,POINT (103.7443409461819 1.385361692828806),30_30,Choa Chu Kang,NS4 / BP1,222_125,Kent Ridge,CC24,14.7,159,109,True
